,Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,Remarks
286,287,5/4/2018,Vedantu,Ed-Tech,Interactive Online Tutoring Platform,Bangalore,"Accel Partners, Tiger Global And Others",Private Equity,"1,00,00,000",
2756,2768,7/5/2015,Vedantu,Online Education Platform,,Bangalore,"Accel Partners, Tiger Global Management",Private Equity,"50,00,000",Series A
95,1,9/4/2020,Vedantu,EduTech,Online Tutoring,Bengaluru,Legend Capital,Series C1,"1,25,60,000",
