,Unnamed: 0,Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,AmountinUSD,Remarks
0,286,287,5/4/2018,Vedantu,Ed-Tech,Interactive Online Tutoring Platform,Bangalore,"Accel Partners, Tiger Global And Others",Private Equity,10000000.0,
1,2756,2768,7/5/2015,Vedantu,Online Education Platform,,Bangalore,"Accel Partners, Tiger Global Management",Private Equity,5000000.0,Series A
2,95,1,9/4/2020,Vedantu,EduTech,Online Tutoring,Bengaluru,Legend Capital,Series C1,12560000.0,
