,Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,Remarks
156,157,05/09/2018,Nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Equity,"15,72,00,000",
263,264,14/05/2018,Nykaa,Consumer Internet,Beauty e-tailer,Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity,"2,40,00,000",
305,306,22/04/2018,Nykaa,Consumer Internet,Beauty e-tailer,Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity,"1,10,00,000",
1364,1365,12/09/2016,Nykaa,eCommerce,Online Beauty products eTailer,Mumbai,"Sunil Munjal, Mariwala family",Private Equity,"1,23,00,000",
2297,2298,05/10/2015,Nykaa,Beauty & Wellness Products e-tailer,,Mumbai,"Harsh Mariwala, Atul Nishar, Dalip Pathak, Michael Carlos",Private Equity,"95,00,000",Series B
